{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [200 & 201]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [200 & 202]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [200 & Building Outline]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [200 & Hallway]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [201 & Building Outline]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [201 & Hallway]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [202 & Building Outline]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [202 & Hallway]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [203 & 205]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [203 & Building Outline]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [203 & Hallway]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [204 & 206]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [204 & Building Outline]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [204 & Hallway]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [205 & 207]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [205 & Building Outline]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [205 & Hallway]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [206 & Building Outline]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [206 & Hallway]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [206 & Stairs]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [207 & 209]}
{Campus: North Campus, Building: Athabasca Hall, Floor: Level 2, Neighbors: [207 & Building Outline]}
