{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Building Outline, Centroid: (-0.87776, -1.21474)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Elevator, Centroid: (-84.38031, -57.85499)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Elevator, Centroid: (-565.48395, 392.75677)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Elevator, Centroid: (237.70707, -434.98033)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Elevator, Centroid: (-146.81097, -140.89508)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Hallway, Centroid: (501.52436, 290.73227)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Hallway, Centroid: (378.69929, 392.15167)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Hallway, Centroid: (244.24085, 478.93559)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Hallway, Centroid: (523.21054, -70.64563)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Hallway, Centroid: (208.76055, -288.13058)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Hallway, Centroid: (-315.56496, -427.56798)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Hallway, Centroid: (-320.79347, -293.37994)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: Hallway, Centroid: (-343.9802, 219.63867)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: L-005, Centroid: (-52.00665, -437.20474)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: L-010, Centroid: (-196.14847, -334.6823)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: L-016A, Centroid: (-164.01329, -400.02575)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: L-017, Centroid: (-209.16827, -510.17431)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: L-019, Centroid: (-296.59472, -510.17431)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: L-022, Centroid: (-309.36876, -363.98172)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: L-025, Centroid: (-380.73171, -510.17431)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: L-029, Centroid: (-503.44838, -505.89354)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: L-046, Centroid: (0.80128, -329.22597)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: L-052, Centroid: (142.73864, -329.38139)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: L-061, Centroid: (379.56705, -487.62768)}
{Building: Enterprise Square, Campus: Enterprise Square, Floor: Level -1, Room: L-062, Centroid: (379.6895, -335.34912)}
